Unit,Mu,Sigma,Tau,Peak,rho
309,0.184370793626214,0.118901659023739,1.10338204545603,0.00727515694714129,0.986230348689302
311,0.207189869789191,0.00100023011406317,1.18565238044596,-0.00124550182514477,0.99997657544166
312,0.217530295670403,0.00100003650834519,0.487294902275132,0.00284830671011528,0.685533502635597
314,0.439658205995338,0.103447931994283,0.136350351612608,0.00627067512375817,0.770099086921399
317,0.197142112669801,0.00100019553984798,0.818263541582619,0.00478759023345107,0.924138994331016
325,0.146041836487554,0.0233162078029428,0.899150612426243,-0.00356655107202691,0.999472311193088
330,0.0708164363652855,0.00100000044056228,1.95686107094135,-0.00242835078951431,0.997251967005008
331,0.130466891205369,0.249804942476986,1.260552042283,-0.00313462449566689,0.999696817619096
332,0,0.40222940313506,1.4976975787552,-0.00846870138460466,0.999785943792202
335,0.0106695239740531,0.317652857551485,1.22764915082115,-0.00570986601614596,0.999973412166176
351,0.238775331361373,0.123245270321232,0.0100065824203313,0.11889550830734,0.996465675779408
352,0.27212523508694,0.0589665588210439,0.232365801965491,0.0331766186853876,0.997095240921227
